<block:advancedrocketry:advrocketmotor>, Advanced Rocket Engine
<block:rockhounding_chemistry:fluid.krypton>, Krypton
<block:rockhounding_chemistry:fluid.leachate>, Leachate
<block:rockhounding_chemistry:fluid.liquid_ammonia>, Liquid Ammonia
<block:rockhounding_chemistry:fluid.liquid_nitrogen>, Air
<block:rockhounding_chemistry:fluid.liquid_oxygen>, Liquid Oxygen
<block:rockhounding_chemistry:fluid.methanol>, Air
<block:rockhounding_chemistry:fluid.molten_bam>, Molten BAM
<block:rockhounding_chemistry:fluid.molten_corten>, Molten Corten Steel
<block:rockhounding_chemistry:fluid.molten_cube>, Molten CuBe
<block:rockhounding_chemistry:fluid.molten_cunife>, Molten CuNiFe
<block:rockhounding_chemistry:fluid.molten_cupronickel>, Molten Cupronickel
<block:rockhounding_chemistry:fluid.molten_hastelloy>, Molten Hastelloy
<block:rockhounding_chemistry:fluid.molten_hydronalium>, Molten Hydronalium
<block:rockhounding_chemistry:fluid.molten_inconel>, Molten Inconel
<block:rockhounding_chemistry:fluid.molten_nial>, Molten NiAl
<block:rockhounding_chemistry:fluid.molten_nichrome>, Molten Nichrome
<block:rockhounding_chemistry:fluid.molten_nimonic>, Molten Nimonic
<block:rockhounding_chemistry:fluid.molten_pewter>, Molten Pewter
<block:rockhounding_chemistry:fluid.molten_scal>, Molten ScAl
<block:rockhounding_chemistry:fluid.molten_stellite>, Molten Stellite
<block:rockhounding_chemistry:fluid.molten_tantaloy>, Molten Tantaloy
<block:rockhounding_chemistry:fluid.molten_titanium>, Molten Titanium
<block:rockhounding_chemistry:fluid.molten_vanadium>, Molten Vanadium
<block:rockhounding_chemistry:fluid.molten_vanasteel>, Molten Vanasteel
<block:rockhounding_chemistry:fluid.molten_zircaloy>, Molten Zircaloy
<block:rockhounding_chemistry:fluid.mother_liquor>, Mother Liquor
<block:rockhounding_chemistry:fluid.neon>, Neon
<block:rockhounding_chemistry:fluid.nitric_acid>, Nitric Acid
<block:rockhounding_chemistry:fluid.nitrogen>, Air
<block:rockhounding_chemistry:fluid.organic_slurry>, Organic Slurry
<block:rockhounding_chemistry:fluid.oxygen>, Air
<block:rockhounding_chemistry:fluid.propylene>, Propylene
<block:rockhounding_chemistry:fluid.raw_flue_gas>, Raw Flue Gas
<block:rockhounding_chemistry:fluid.raw_syngas>, Raw Syngas
<block:rockhounding_chemistry:fluid.refined_air>, Refined Air
<block:rockhounding_chemistry:fluid.salt_brine>, Saturated Brine
<block:rockhounding_chemistry:fluid.silicone>, Silicone
<block:rockhounding_chemistry:fluid.sodium_cyanide>, Sodium Cyanide
<block:rockhounding_chemistry:fluid.sodium_hydroxide>, Sodium Hydroxide
<block:rockhounding_chemistry:fluid.sulfuric_acid>, Air
<block:rockhounding_chemistry:fluid.syngas>, Syngas
<block:rockhounding_chemistry:fluid.thin_air>, Thin Air (Dummy Filter)
<block:rockhounding_chemistry:fluid.toxic_sludge>, Toxic Sludge
<block:rockhounding_chemistry:fluid.toxic_waste>, Toxic Waste
<block:rockhounding_chemistry:fluid.virgin_water>, Virgin Water
<block:rockhounding_chemistry:fluid.water_vapour>, Water Vapour
<block:rockhounding_chemistry:fluid.xenon>, Xenon
<block:rockhounding_chemistry:gasline_duct>, Gas Pipeline Duct
<block:rockhounding_chemistry:gasline_halt>, Gas Pipeline Barred Duct
<block:rockhounding_chemistry:gasline_pump>, Gas Pipeline Pump
<block:rockhounding_chemistry:machines_a>, tile.rockhounding_chemistry:machines_a.name
<block:rockhounding_chemistry:machines_b>, tile.rockhounding_chemistry:machines_b.name
<block:rockhounding_chemistry:machines_c>, tile.rockhounding_chemistry:machines_c.name
<block:rockhounding_chemistry:machines_d>, tile.rockhounding_chemistry:machines_d.name
<block:rockhounding_chemistry:machines_e>, tile.rockhounding_chemistry:machines_e.name
<block:rockhounding_chemistry:machines_f>, tile.rockhounding_chemistry:machines_f.name
<block:rockhounding_chemistry:mineral_ores>, tile.rockhounding_chemistry:mineral_ores.name
<block:rockhounding_chemistry:misc_blocks_a>, tile.rockhounding_chemistry:misc_blocks_a.name
<block:rockhounding_chemistry:pipeline_duct>, Fluid Pipeline Duct
<block:rockhounding_chemistry:pipeline_halt>, Fluid Pipeline Barred Duct
<block:rockhounding_chemistry:pipeline_pump>, Fluid Pipeline Pump
<block:rockhounding_chemistry:pipeline_valve>, Fluid Pipeline Valve
<block:rockhounding_chemistry:toxic_cloud>, Toxic Cloud
<block:rockhounding_chemistry:uninspected_mineral>, Uninspected Mineral
<block:rockhounding_chemistry:waterlock>, tile.rockhounding_chemistry:waterlock.name
<block:signpost:blockbase>, Waystone
<block:signpost:blockbasemodel0>, Waystone
<block:signpost:blockbasemodel1>, Waystone
<block:signpost:blockbasemodel2>, Waystone
<block:signpost:blockbasemodel3>, Waystone
<block:signpost:blockbasemodel4>, Waystone
<block:signpost:blockbasemodel5>, Waystone
<block:signpost:blockbasemodel6>, Waystone
<block:signpost:blockbasemodel7>, Waystone
<block:signpost:blockbigpostacacia>, Large acacia Signpost
<block:signpost:blockbigpostbigoak>, Large dark oak Signpost
<block:signpost:blockbigpostbirch>, Large birch Signpost
<block:signpost:blockbigpostiron>, Large iron Signpost
<block:signpost:blockbigpostjungle>, Large jungle Signpost
<block:signpost:blockbigpostoak>, Large oak Signpost
<block:signpost:blockbigpostspruce>, Large spruce Signpost
<block:signpost:blockbigpoststone>, Large stone Signpost
<block:signpost:blockpostacacia>, Acacia Signpost
<block:signpost:blockpostbigoak>, Dark Oak Signpost
<block:signpost:blockpostbirch>, Birch Signpost
<block:signpost:blockpostiron>, Iron Signpost
<block:signpost:blockpostjungle>, Jungle Signpost
<block:signpost:blockpostoak>, Oak Signpost
<block:signpost:blockpostspruce>, Spruce Signpost
<block:signpost:blockpoststone>, Stone Signpost
<block:simplyloaders:entityloader>, Entity Loader
<block:simplyloaders:entityunloader>, Entity Unloader
<block:simplyloaders:fluidloader>, Fluid Loader
<block:simplyloaders:fluidunloader>, Fluid Unloader
<block:simplyloaders:loader>, Loader
<block:simplyloaders:raintank>, Raintank
<block:simplyloaders:unloader>, Unloader
<block:techreborn:adjustable_su>, Air
<block:techreborn:alarm>, Air
<block:techreborn:alloy_smelter>, Air
<block:techreborn:assembling_machine>, Air
<block:techreborn:auto_crafting_table>, Air
<block:techreborn:cable>, Air
<block:techreborn:charge_o_mat>, Air
<block:techreborn:chemical_reactor>, Air
<block:techreborn:chunk_loader>, Air
<block:techreborn:compressor>, Air
<block:techreborn:computer_cube>, Air
<block:techreborn:creative_quantum_chest>, Air
<block:techreborn:creative_quantum_tank>, Air
<block:techreborn:creative_solar_panel>, Air
<block:techreborn:diesel_generator>, Air
<block:techreborn:digital_chest>, Air
<block:techreborn:distillation_tower>, Air
<block:techreborn:dragon_egg_syphon>, Air
<block:techreborn:electric_furnace>, Air
<block:techreborn:ev_transformer>, Air
<block:techreborn:extractor>, Air
<block:techreborn:fluid_replicator>, Air
<block:techreborn:fusion_coil>, Air
<block:techreborn:fusion_control_computer>, Air
<block:techreborn:gas_turbine>, Air
<block:techreborn:grinder>, Air
<block:techreborn:high_voltage_su>, Air
<block:techreborn:hv_transformer>, Air
<block:techreborn:implosion_compressor>, Air
<block:techreborn:industrial_blast_furnace>, Air
<block:techreborn:industrial_centrifuge>, Air
<block:techreborn:industrial_electrolyzer>, Air
<block:techreborn:industrial_grinder>, Air
<block:techreborn:industrial_sawmill>, Air
<block:techreborn:interdimensional_su>, Air
<block:techreborn:iron_alloy_furnace>, Air
<block:techreborn:iron_furnace>, Air
<block:techreborn:lamp_incandescent>, Air
<block:techreborn:lamp_led>, Air
<block:techreborn:lapotronic_su>, Air
<block:techreborn:lightning_rod>, Air
<block:techreborn:low_voltage_su>, Air
<block:techreborn:lsu_storage>, Air
<block:techreborn:lv_transformer>, Air
<block:techreborn:machine_casing>, Air
<block:techreborn:machine_frame>, Air
<block:techreborn:magic_energy_absorber>, Air
<block:techreborn:magic_energy_converter>, Air
<block:techreborn:matter_fabricator>, Air
<block:techreborn:medium_voltage_su>, Air
<block:techreborn:mv_transformer>, Air
<block:techreborn:nuke>, Air
<block:techreborn:ore>, Air
<block:techreborn:ore2>, Air
<block:techreborn:plasma_generator>, Air
<block:techreborn:plate_bending_machine>, Air
<block:techreborn:player_detector>, Air
<block:techreborn:pump>, Air
<block:techreborn:quantum_chest>, Air
<block:techreborn:quantum_tank>, Air
<block:techreborn:recycler>, Air
<block:techreborn:refined_iron_fence>, Air
<block:techreborn:reinforced_glass>, Air
<block:techreborn:rolling_machine>, Air
<block:techreborn:rubber_leaves>, Air
<block:techreborn:rubber_log>, Air
<block:techreborn:rubber_plank_double_slab>, Air
<block:techreborn:rubber_plank_slab>, Air
<block:techreborn:rubber_plank_stair>, Air
<block:techreborn:rubber_planks>, Air
<block:techreborn:rubber_sapling>, Air
<block:techreborn:scrapboxinator>, Air
<block:techreborn:semi_fluid_generator>, Air
<block:techreborn:solar_panel>, Air
<block:techreborn:solid_canning_machine>, Air
<block:techreborn:solid_fuel_generator>, Air
<block:techreborn:storage>, Air
<block:techreborn:storage2>, Air
<block:techreborn:techreborn_techreborn.berylium>, Air
<block:techreborn:techreborn_techreborn.biofuel>, Air
<block:techreborn:techreborn_techreborn.calcium>, Air
<block:techreborn:techreborn_techreborn.calciumcarbonate>, Air
<block:techreborn:techreborn_techreborn.carbon>, Air
<block:techreborn:techreborn_techreborn.carbonfiber>, Air
<block:techreborn:techreborn_techreborn.chlorite>, Air
<block:techreborn:techreborn_techreborn.compressedair>, Air
<block:techreborn:techreborn_techreborn.deuterium>, Air
<block:techreborn:techreborn_techreborn.diesel>, Air
<block:techreborn:techreborn_techreborn.electrolyzedwater>, Air
<block:techreborn:techreborn_techreborn.glyceryl>, Air
<block:techreborn:techreborn_techreborn.helium>, Air
<block:techreborn:techreborn_techreborn.helium3>, Air
<block:techreborn:techreborn_techreborn.heliumplasma>, Air
<block:techreborn:techreborn_techreborn.hydrogen>, Air
<block:techreborn:techreborn_techreborn.lithium>, Air
<block:techreborn:techreborn_techreborn.mercury>, Air
<block:techreborn:techreborn_techreborn.methane>, Air
<block:techreborn:techreborn_techreborn.nitrocarbon>, Air
<block:techreborn:techreborn_techreborn.nitrocoalfuel>, Air
<block:techreborn:techreborn_techreborn.nitrodiesel>, Air
<block:techreborn:techreborn_techreborn.nitrofuel>, Air
<block:techreborn:techreborn_techreborn.nitrogen>, Air
<block:techreborn:techreborn_techreborn.nitrogendioxide>, Air
<block:techreborn:techreborn_techreborn.oil>, Air
<block:techreborn:techreborn_techreborn.potassium>, Air
<block:techreborn:techreborn_techreborn.silicon>, Air
<block:techreborn:techreborn_techreborn.sodium>, Air
<block:techreborn:techreborn_techreborn.sodiumpersulfate>, Air
<block:techreborn:techreborn_techreborn.sodiumsulfide>, Air
<block:techreborn:techreborn_techreborn.sulfur>, Air
<block:techreborn:techreborn_techreborn.sulfuricacid>, Air
<block:techreborn:techreborn_techreborn.tritium>, Air
<block:techreborn:techreborn_techreborn.wolframium>, Air
<block:techreborn:thermal_generator>, Air
<block:techreborn:vacuum_freezer>, Air
<block:techreborn:water_mill>, Air
<block:techreborn:wind_mill>, Air
<block:techreborn:wire_mill>, Air
<block:tfc:aggregate>, Aggregate
<block:tfc:alabaster/bricks/black>, Black Alabaster Bricks
<block:tfc:alabaster/bricks/blue>, Blue Alabaster Bricks
<block:tfc:alabaster/bricks/brown>, Brown Alabaster Bricks
<block:tfc:alabaster/bricks/cyan>, Cyan Alabaster Bricks
<block:tfc:alabaster/bricks/gray>, Gray Alabaster Bricks
<block:tfc:alabaster/bricks/green>, Green Alabaster Bricks
<block:tfc:alabaster/bricks/light_blue>, Light Blue Alabaster Bricks
<block:tfc:alabaster/bricks/lime>, Lime Alabaster Bricks
<block:tfc:alabaster/bricks/magenta>, Magenta Alabaster Bricks
<block:tfc:alabaster/bricks/orange>, Orange Alabaster Bricks
<block:tfc:alabaster/bricks/pink>, Pink Alabaster Bricks
<block:tfc:alabaster/bricks/plain>,  Alabaster Bricks
<block:tfc:alabaster/bricks/purple>, Purple Alabaster Bricks
<block:tfc:alabaster/bricks/red>, Red Alabaster Bricks
<block:tfc:alabaster/bricks/silver>, Light Gray Alabaster Bricks
<block:tfc:alabaster/bricks/white>, White Alabaster Bricks
<block:tfc:alabaster/bricks/yellow>, Yellow Alabaster Bricks
<block:tfc:alabaster/polished/black>, Black Smooth Alabaster
<block:tfc:alabaster/polished/blue>, Blue Smooth Alabaster
<block:tfc:alabaster/polished/brown>, Brown Smooth Alabaster
<block:tfc:alabaster/polished/cyan>, Cyan Smooth Alabaster
<block:tfc:alabaster/polished/gray>, Gray Smooth Alabaster
<block:tfc:alabaster/polished/green>, Green Smooth Alabaster
<block:tfc:alabaster/polished/light_blue>, Light Blue Smooth Alabaster
<block:tfc:alabaster/polished/lime>, Lime Smooth Alabaster
<block:tfc:alabaster/polished/magenta>, Magenta Smooth Alabaster
<block:tfc:alabaster/polished/orange>, Orange Smooth Alabaster
<block:tfc:alabaster/polished/pink>, Pink Smooth Alabaster
<block:tfc:alabaster/polished/plain>,  Smooth Alabaster
<block:tfc:alabaster/polished/purple>, Purple Smooth Alabaster
<block:tfc:alabaster/polished/red>, Red Smooth Alabaster
<block:tfc:alabaster/polished/silver>, Light Gray Smooth Alabaster
<block:tfc:alabaster/polished/white>, White Smooth Alabaster
<block:tfc:alabaster/polished/yellow>, Yellow Smooth Alabaster
<block:tfc:alabaster/raw/black>, Black Alabaster
<block:tfc:alabaster/raw/blue>, Blue Alabaster
<block:tfc:alabaster/raw/brown>, Brown Alabaster
<block:tfc:alabaster/raw/cyan>, Cyan Alabaster
<block:tfc:alabaster/raw/gray>, Gray Alabaster
<block:tfc:alabaster/raw/green>, Green Alabaster
<block:tfc:alabaster/raw/light_blue>, Light Blue Alabaster
<block:tfc:alabaster/raw/lime>, Lime Alabaster
<block:tfc:alabaster/raw/magenta>, Magenta Alabaster
<block:tfc:alabaster/raw/orange>, Orange Alabaster
<block:tfc:alabaster/raw/pink>, Pink Alabaster
<block:tfc:alabaster/raw/plain>,  Alabaster
<block:tfc:alabaster/raw/purple>, Purple Alabaster
<block:tfc:alabaster/raw/red>, Red Alabaster
<block:tfc:alabaster/raw/silver>, Light Gray Alabaster
<block:tfc:alabaster/raw/white>, White Alabaster
<block:tfc:alabaster/raw/yellow>, Yellow Alabaster
<block:tfc:anvil/aluminum>, tile.tfc.anvil.aluminum.name
<block:tfc:anvil/andesite>, tile.tfc.anvil.andesite.name
<block:tfc:anvil/basalt>, tile.tfc.anvil.basalt.name
<block:tfc:anvil/beryllium_copper>, tile.tfc.anvil.beryllium_copper.name
<block:tfc:anvil/bismuth_bronze>, tile.tfc.anvil.bismuth_bronze.name
<block:tfc:anvil/black_bronze>, tile.tfc.anvil.black_bronze.name
<block:tfc:anvil/black_steel>, tile.tfc.anvil.black_steel.name
<block:tfc:anvil/blue_steel>, tile.tfc.anvil.blue_steel.name
<block:tfc:anvil/boron>, tile.tfc.anvil.boron.name
<block:tfc:anvil/bronze>, tile.tfc.anvil.bronze.name
<block:tfc:anvil/cobalt>, tile.tfc.anvil.cobalt.name
<block:tfc:anvil/copper>, tile.tfc.anvil.copper.name
<block:tfc:anvil/dacite>, tile.tfc.anvil.dacite.name
<block:tfc:anvil/diorite>, tile.tfc.anvil.diorite.name
<block:tfc:anvil/gabbro>, tile.tfc.anvil.gabbro.name
<block:tfc:anvil/granite>, tile.tfc.anvil.granite.name
<block:tfc:anvil/invar>, tile.tfc.anvil.invar.name
<block:tfc:anvil/manyullyn>, tile.tfc.anvil.manyullyn.name
<block:tfc:anvil/nickel_silver>, tile.tfc.anvil.nickel_silver.name
<block:tfc:anvil/osmium>, tile.tfc.anvil.osmium.name
<block:tfc:anvil/red_steel>, tile.tfc.anvil.red_steel.name
<block:tfc:anvil/rhyolite>, tile.tfc.anvil.rhyolite.name
<block:tfc:anvil/steel>, tile.tfc.anvil.steel.name
<block:tfc:anvil/titanium>, tile.tfc.anvil.titanium.name
<block:tfc:anvil/tungsten>, tile.tfc.anvil.tungsten.name
<block:tfc:anvil/tungsten_steel>, tile.tfc.anvil.tungsten_steel.name
<block:tfc:anvil/wrought_iron>, tile.tfc.anvil.wrought_iron.name
<block:tfc:anvil/zircaloy>, tile.tfc.anvil.zircaloy.name
<block:tfc:bellows>, Bellows
<block:tfc:berry_bush/blackberry>, Blackberry Bush
<block:tfc:berry_bush/blueberry>, Blueberry Bush
<block:tfc:berry_bush/bunch_berry>, Bunchberry Bush
<block:tfc:berry_bush/cloud_berry>, Cloudberry Bush
<block:tfc:berry_bush/cranberry>, Cranberry Bush
<block:tfc:berry_bush/elderberry>, Elderberry Bush
<block:tfc:berry_bush/gooseberry>, Gooseberry Bush
<block:tfc:berry_bush/raspberry>, Raspberry Bush
<block:tfc:berry_bush/snow_berry>, Snowberry Bush
<block:tfc:berry_bush/strawberry>, Strawberry Bush
<block:tfc:berry_bush/wintergreen_berry>, Wintergreen Berry Bush
<block:tfc:blast_furnace>, Blast Furnace
<block:tfc:bloom>, tile.tfc.bloom.name
<block:tfc:bloomery>, Bloomery
<block:tfc:bricks/andesite>, Andesite Bricks
<block:tfc:bricks/basalt>, Basalt Bricks
<block:tfc:bricks/chalk>, Chalk Bricks
<block:tfc:bricks/chert>, Chert Bricks
<block:tfc:bricks/claystone>, Claystone Bricks
<block:tfc:bricks/conglomerate>, Conglomerate Bricks
<block:tfc:bricks/dacite>, Dacite Bricks
<block:tfc:bricks/diorite>, Diorite Bricks
<block:tfc:bricks/dolomite>, Dolomite Bricks
<block:tfc:bricks/gabbro>, Gabbro Bricks
<block:tfc:bricks/gneiss>, Gneiss Bricks
<block:tfc:bricks/granite>, Granite Bricks
<block:tfc:bricks/limestone>, Limestone Bricks
<block:tfc:bricks/marble>, Marble Bricks
<block:tfc:bricks/phyllite>, Phyllite Bricks
<block:tfc:bricks/quartzite>, Quartzite Bricks
<block:tfc:bricks/rhyolite>, Rhyolite Bricks
<block:tfc:bricks/rocksalt>, Rocksalt Bricks
<block:tfc:bricks/schist>, Schist Bricks
<block:tfc:bricks/shale>, Shale Bricks
<block:tfc:bricks/slate>, Slate Bricks
<block:tfc:ceramics/fired/large_vessel>, Large Vessel
<block:tfc:charcoal_forge>, Charcoal Forge
<block:tfc:charcoal_pile>, tile.tfc.charcoal_pile.name
<block:tfc:clay/andesite>, Andesite Clay
<block:tfc:clay/basalt>, Basalt Clay
<block:tfc:clay/chalk>, Chalk Clay
<block:tfc:clay/chert>, Chert Clay
<block:tfc:clay/claystone>, Claystone Clay
<block:tfc:clay/conglomerate>, Conglomerate Clay
<block:tfc:clay/dacite>, Dacite Clay
<block:tfc:clay/diorite>, Diorite Clay
<block:tfc:clay/dolomite>, Dolomite Clay
<block:tfc:clay/gabbro>, Gabbro Clay
<block:tfc:clay/gneiss>, Gneiss Clay
<block:tfc:clay/granite>, Granite Clay
<block:tfc:clay/limestone>, Limestone Clay
<block:tfc:clay/marble>, Marble Clay
<block:tfc:clay/phyllite>, Phyllite Clay
<block:tfc:clay/quartzite>, Quartzite Clay
<block:tfc:clay/rhyolite>, Rhyolite Clay
<block:tfc:clay/rocksalt>, Rocksalt Clay
<block:tfc:clay/schist>, Schist Clay
<block:tfc:clay/shale>, Shale Clay
<block:tfc:clay/slate>, Slate Clay
<block:tfc:clay_grass/andesite>, Andesite Clay Grass
<block:tfc:clay_grass/basalt>, Basalt Clay Grass
<block:tfc:clay_grass/chalk>, Chalk Clay Grass
<block:tfc:clay_grass/chert>, Chert Clay Grass
<block:tfc:clay_grass/claystone>, Claystone Clay Grass
<block:tfc:clay_grass/conglomerate>, Conglomerate Clay Grass
<block:tfc:clay_grass/dacite>, Dacite Clay Grass
<block:tfc:clay_grass/diorite>, Diorite Clay Grass
<block:tfc:clay_grass/dolomite>, Dolomite Clay Grass
<block:tfc:clay_grass/gabbro>, Gabbro Clay Grass
<block:tfc:clay_grass/gneiss>, Gneiss Clay Grass
<block:tfc:clay_grass/granite>, Granite Clay Grass
<block:tfc:clay_grass/limestone>, Limestone Clay Grass
<block:tfc:clay_grass/marble>, Marble Clay Grass
<block:tfc:clay_grass/phyllite>, Phyllite Clay Grass
<block:tfc:clay_grass/quartzite>, Quartzite Clay Grass
<block:tfc:clay_grass/rhyolite>, Rhyolite Clay Grass
<block:tfc:clay_grass/rocksalt>, Rocksalt Clay Grass
<block:tfc:clay_grass/schist>, Schist Clay Grass
<block:tfc:clay_grass/shale>, Shale Clay Grass
<block:tfc:clay_grass/slate>, Slate Clay Grass
<block:tfc:cobble/andesite>, Andesite Cobble
<block:tfc:cobble/basalt>, Basalt Cobble
<block:tfc:cobble/chalk>, Chalk Cobble
<block:tfc:cobble/chert>, Chert Cobble
<block:tfc:cobble/claystone>, Claystone Cobble
<block:tfc:cobble/conglomerate>, Conglomerate Cobble
<block:tfc:cobble/dacite>, Dacite Cobble
<block:tfc:cobble/diorite>, Diorite Cobble
<block:tfc:cobble/dolomite>, Dolomite Cobble
<block:tfc:cobble/gabbro>, Gabbro Cobble
<block:tfc:cobble/gneiss>, Gneiss Cobble
<block:tfc:cobble/granite>, Granite Cobble
<block:tfc:cobble/limestone>, Limestone Cobble
<block:tfc:cobble/marble>, Marble Cobble
<block:tfc:cobble/phyllite>, Phyllite Cobble
<block:tfc:cobble/quartzite>, Quartzite Cobble
<block:tfc:cobble/rhyolite>, Rhyolite Cobble
<block:tfc:cobble/rocksalt>, Rocksalt Cobble
<block:tfc:cobble/schist>, Schist Cobble
<block:tfc:cobble/shale>, Shale Cobble
<block:tfc:cobble/slate>, Slate Cobble
<block:tfc:crop/barley>, Barley
<block:tfc:crop/beet>, Beets
<block:tfc:crop/cabbage>, Cabbage
<block:tfc:crop/carrot>, Carrots
<block:tfc:crop/garlic>, Garlic
<block:tfc:crop/green_bean>, Green Beans
<block:tfc:crop/jute>, Jute
<block:tfc:crop/maize>, Maize
<block:tfc:crop/oat>, Oats
<block:tfc:crop/onion>, Onion
<block:tfc:crop/potato>, Potatoes
<block:tfc:crop/red_bell_pepper>, Red Bell Peppers
<block:tfc:crop/rice>, Rice
<block:tfc:crop/rye>, Rye
<block:tfc:crop/soybean>, Soybeans
<block:tfc:crop/squash>, Squash
<block:tfc:crop/sugarcane>, Sugarcane
<block:tfc:crop/tomato>, Tomatoes
<block:tfc:crop/wheat>, Wheat
<block:tfc:crop/yellow_bell_pepper>, Yellow Bell Peppers
<block:tfc:crucible>, Crucible
<block:tfc:dead_crop/barley>, tile.tfc.dead_crop.barley.name
<block:tfc:dead_crop/beet>, tile.tfc.dead_crop.beet.name
<block:tfc:dead_crop/cabbage>, tile.tfc.dead_crop.cabbage.name
<block:tfc:dead_crop/carrot>, tile.tfc.dead_crop.carrot.name
<block:tfc:dead_crop/garlic>, tile.tfc.dead_crop.garlic.name
<block:tfc:dead_crop/green_bean>, tile.tfc.dead_crop.green_bean.name
<block:tfc:dead_crop/jute>, tile.tfc.dead_crop.jute.name
<block:tfc:dead_crop/maize>, tile.tfc.dead_crop.maize.name
<block:tfc:dead_crop/oat>, tile.tfc.dead_crop.oat.name
<block:tfc:dead_crop/onion>, tile.tfc.dead_crop.onion.name
<block:tfc:dead_crop/potato>, tile.tfc.dead_crop.potato.name
<block:tfc:dead_crop/red_bell_pepper>, tile.tfc.dead_crop.red_bell_pepper.name
<block:tfc:dead_crop/rice>, tile.tfc.dead_crop.rice.name
<block:tfc:dead_crop/rye>, tile.tfc.dead_crop.rye.name
<block:tfc:dead_crop/soybean>, tile.tfc.dead_crop.soybean.name
<block:tfc:dead_crop/squash>, tile.tfc.dead_crop.squash.name
<block:tfc:dead_crop/sugarcane>, tile.tfc.dead_crop.sugarcane.name
<block:tfc:dead_crop/tomato>, tile.tfc.dead_crop.tomato.name
<block:tfc:dead_crop/wheat>, tile.tfc.dead_crop.wheat.name
<block:tfc:dead_crop/yellow_bell_pepper>, tile.tfc.dead_crop.yellow_bell_pepper.name
<block:tfc:debug>, TFC Debug Block
<block:tfc:dirt/andesite>, Andesite Dirt
<block:tfc:dirt/basalt>, Basalt Dirt
<block:tfc:dirt/chalk>, Chalk Dirt
<block:tfc:dirt/chert>, Chert Dirt
<block:tfc:dirt/claystone>, Claystone Dirt
<block:tfc:dirt/conglomerate>, Conglomerate Dirt
<block:tfc:dirt/dacite>, Dacite Dirt
<block:tfc:dirt/diorite>, Diorite Dirt
<block:tfc:dirt/dolomite>, Dolomite Dirt
<block:tfc:dirt/gabbro>, Gabbro Dirt
<block:tfc:dirt/gneiss>, Gneiss Dirt
<block:tfc:dirt/granite>, Granite Dirt
<block:tfc:dirt/limestone>, Limestone Dirt
<block:tfc:dirt/marble>, Marble Dirt
<block:tfc:dirt/phyllite>, Phyllite Dirt
<block:tfc:dirt/quartzite>, Quartzite Dirt
<block:tfc:dirt/rhyolite>, Rhyolite Dirt
<block:tfc:dirt/rocksalt>, Rocksalt Dirt
<block:tfc:dirt/schist>, Schist Dirt
<block:tfc:dirt/shale>, Shale Dirt
<block:tfc:dirt/slate>, Slate Dirt
<block:tfc:double_slab/bricks/andesite>, Andesite Brick Double Slab
<block:tfc:double_slab/bricks/basalt>, Basalt Brick Double Slab
<block:tfc:double_slab/bricks/chalk>, Chalk Brick Double Slab
<block:tfc:double_slab/bricks/chert>, Chert Brick Double Slab
<block:tfc:double_slab/bricks/claystone>, Claystone Brick Double Slab
<block:tfc:double_slab/bricks/conglomerate>, Conglomerate Brick Double Slab
<block:tfc:double_slab/bricks/dacite>, Dacite Brick Double Slab
<block:tfc:double_slab/bricks/diorite>, Diorite Brick Double Slab
<block:tfc:double_slab/bricks/dolomite>, Dolomite Brick Double Slab
<block:tfc:double_slab/bricks/gabbro>, Gabbro Brick Double Slab
<block:tfc:double_slab/bricks/gneiss>, Gneiss Brick Double Slab
<block:tfc:double_slab/bricks/granite>, Granite Brick Double Slab
<block:tfc:double_slab/bricks/limestone>, Limestone Brick Double Slab
<block:tfc:double_slab/bricks/marble>, Marble Brick Double Slab
<block:tfc:double_slab/bricks/phyllite>, Phyllite Brick Double Slab
<block:tfc:double_slab/bricks/quartzite>, Quartzite Brick Double Slab
<block:tfc:double_slab/bricks/rhyolite>, Rhyolite Brick Double Slab
<block:tfc:double_slab/bricks/rocksalt>, Rocksalt Brick Double Slab
<block:tfc:double_slab/bricks/schist>, Schist Brick Double Slab
<block:tfc:double_slab/bricks/shale>, Shale Brick Double Slab
<block:tfc:double_slab/bricks/slate>, Slate Brick Double Slab
<block:tfc:double_slab/cobble/andesite>, Andesite Cobble Double Slab
<block:tfc:double_slab/cobble/basalt>, Basalt Cobble Double Slab
<block:tfc:double_slab/cobble/chalk>, Chalk Cobble Double Slab
<block:tfc:double_slab/cobble/chert>, Chert Cobble Double Slab
<block:tfc:double_slab/cobble/claystone>, Claystone Cobble Double Slab
<block:tfc:double_slab/cobble/conglomerate>, Conglomerate Cobble Double Slab
<block:tfc:double_slab/cobble/dacite>, Dacite Cobble Double Slab
<block:tfc:double_slab/cobble/diorite>, Diorite Cobble Double Slab
<block:tfc:double_slab/cobble/dolomite>, Dolomite Cobble Double Slab
<block:tfc:double_slab/cobble/gabbro>, Gabbro Cobble Double Slab
<block:tfc:double_slab/cobble/gneiss>, Gneiss Cobble Double Slab
<block:tfc:double_slab/cobble/granite>, Granite Cobble Double Slab
<block:tfc:double_slab/cobble/limestone>, Limestone Cobble Double Slab
<block:tfc:double_slab/cobble/marble>, Marble Cobble Double Slab
<block:tfc:double_slab/cobble/phyllite>, Phyllite Cobble Double Slab
<block:tfc:double_slab/cobble/quartzite>, Quartzite Cobble Double Slab
<block:tfc:double_slab/cobble/rhyolite>, Rhyolite Cobble Double Slab
